difficulty_rank,split,label,insect_name,support,true_positive,false_negative,predicted_total,false_positive,precision,recall,f1_score,error_rate,top1_wrong_label,top1_wrong_class,top1_wrong_count,top1_wrong_rate,top1_share_of_class_errors,top2_wrong_label,top2_wrong_class,top2_wrong_count,top2_wrong_rate,top2_share_of_class_errors,top3_wrong_label,top3_wrong_class,top3_wrong_count,top3_wrong_rate,top3_share_of_class_errors,top4_wrong_label,top4_wrong_class,top4_wrong_count,top4_wrong_rate,top4_share_of_class_errors,top5_wrong_label,top5_wrong_class,top5_wrong_count,top5_wrong_rate,top5_share_of_class_errors
13,train,8,white backed plant hopper,535,506,29,528,22,0.958333,0.945794,0.952023,0.054206,7,brown plant hopper,15,0.028037,0.517241,9,small brown plant hopper,12,0.022430,0.413793,3,asiatic rice borer,1,0.001869,0.034483,27,english grain aphid,1,0.001869,0.034483,,,0,0.000000,0.000000
14,train,7,brown plant hopper,500,480,20,506,26,0.948617,0.960000,0.954274,0.040000,8,white backed plant hopper,10,0.020000,0.500000,9,small brown plant hopper,6,0.012000,0.300000,3,asiatic rice borer,2,0.004000,0.100000,11,rice leafhopper,1,0.002000,0.050000,13,rice shell pest,1,0.002000,0.050000
15,train,29,bird cherry-oataphid,424,402,22,414,12,0.971014,0.948113,0.959427,0.051887,27,english grain aphid,14,0.033019,0.636364,28,green bug,3,0.007075,0.136364,24,aphids,2,0.004717,0.090909,89,Toxoptera citricidus,2,0.004717,0.090909,91,Aphis citricola Vander Goot,1,0.002358,0.045455
16,train,63,Polyphagotars onemus latus,50,48,2,50,2,0.960000,0.960000,0.960000,0.040000,57,Apolygus lucorum,1,0.020000,0.500000,92,Scirtothrips dorsalis Hood,1,0.020000,0.500000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
17,train,98,Mango flat beak leafhopper,55,52,3,53,1,0.981132,0.945455,0.962963,0.054545,101,Cicadellidae,2,0.036364,0.666667,97,Chlumetia transversa,1,0.018182,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
18,train,85,Bactrocera tsuneonis,100,93,7,93,0,1.000000,0.930000,0.963731,0.070000,83,Tetradacus c Bactrocera minax,6,0.060000,0.857143,84,Dacus dorsalis(Hendel),1,0.010000,0.142857,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
19,train,61,Brevipoalpus lewisi McGregor,47,44,3,44,0,1.000000,0.936170,0.967033,0.063830,21,red spider,1,0.021277,0.333333,63,Polyphagotars onemus latus,1,0.021277,0.333333,74,Panonchus citri McGregor,1,0.021277,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000
20,train,90,Toxoptera aurantii,135,132,3,137,5,0.963504,0.977778,0.970588,0.022222,28,green bug,2,0.014815,0.666667,91,Aphis citricola Vander Goot,1,0.007407,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
21,train,13,rice shell pest,245,237,8,243,6,0.975309,0.967347,0.971311,0.032653,0,rice leaf roller,7,0.028571,0.875000,1,rice leaf caterpillar,1,0.004082,0.125000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
22,train,38,cabbage army worm,513,492,21,499,7,0.985972,0.959064,0.972332,0.040936,39,beet army worm,9,0.017544,0.428571,86,Prodenia litura,5,0.009747,0.238095,18,black cutworm,2,0.003899,0.095238,45,flax budworm,2,0.003899,0.095238,1,rice leaf caterpillar,1,0.001949,0.047619
23,train,89,Toxoptera citricidus,113,110,3,113,3,0.973451,0.973451,0.973451,0.026549,90,Toxoptera aurantii,1,0.008850,0.333333,91,Aphis citricola Vander Goot,1,0.008850,0.333333,93,Dasineura sp,1,0.008850,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000
24,train,52,therioaphis maculata Buckton,156,151,5,154,3,0.980519,0.967949,0.974194,0.032051,28,green bug,1,0.006410,0.200000,40,Beet spot flies,1,0.006410,0.200000,46,alfalfa plant bug,1,0.006410,0.200000,51,blister beetle,1,0.006410,0.200000,78,Ceroplastes rubens,1,0.006410,0.200000
25,train,35,cerodonta denticornis,82,80,2,82,2,0.975610,0.975610,0.975610,0.024390,2,paddy stem maggot,2,0.024390,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
26,train,4,yellow rice borer,302,290,12,292,2,0.993151,0.960265,0.976431,0.039735,3,asiatic rice borer,8,0.026490,0.666667,0,rice leaf roller,1,0.003311,0.083333,2,paddy stem maggot,1,0.003311,0.083333,9,small brown plant hopper,1,0.003311,0.083333,22,corn borer,1,0.003311,0.083333
27,train,83,Tetradacus c Bactrocera minax,232,230,2,239,9,0.962343,0.991379,0.976645,0.008621,84,Dacus dorsalis(Hendel),2,0.008621,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
28,train,72,Erythroneura apicalis,42,42,0,44,2,0.954545,1.000000,0.976744,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
29,train,40,Beet spot flies,179,178,1,185,7,0.962162,0.994413,0.978022,0.005587,2,paddy stem maggot,1,0.005587,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
30,train,74,Panonchus citri McGregor,231,228,3,235,7,0.970213,0.987013,0.978541,0.012987,21,red spider,3,0.012987,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
31,train,0,rice leaf roller,669,659,10,677,18,0.973412,0.985052,0.979198,0.014948,13,rice shell pest,5,0.007474,0.500000,1,rice leaf caterpillar,2,0.002990,0.200000,3,asiatic rice borer,1,0.001495,0.100000,8,white backed plant hopper,1,0.001495,0.100000,10,rice water weevil,1,0.001495,0.100000
32,train,6,Rice Stemfly,221,217,4,222,5,0.977477,0.981900,0.979684,0.018100,2,paddy stem maggot,2,0.009050,0.500000,40,Beet spot flies,2,0.009050,0.500000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
33,train,75,Phyllocoptes oleiverus ashmead,103,101,2,103,2,0.980583,0.980583,0.980583,0.019417,37,flea beetle,1,0.009709,0.500000,93,Dasineura sp,1,0.009709,0.500000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
34,train,54,Thrips,527,513,14,519,6,0.988439,0.973435,0.980880,0.026565,33,wheat phloeothrips,8,0.015180,0.571429,92,Scirtothrips dorsalis Hood,4,0.007590,0.285714,71,Trialeurodes vaporariorum,2,0.003795,0.142857,,,0,0.000000,0.000000,,,0,0.000000,0.000000
35,train,53,odontothrips loti,106,103,3,104,1,0.990385,0.971698,0.980952,0.028302,33,wheat phloeothrips,1,0.009434,0.333333,82,Aleurocanthus spiniferus,1,0.009434,0.333333,92,Scirtothrips dorsalis Hood,1,0.009434,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000
36,train,97,Chlumetia transversa,183,181,2,186,5,0.973118,0.989071,0.981030,0.010929,26,peach borer,1,0.005464,0.500000,39,beet army worm,1,0.005464,0.500000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
37,train,21,red spider,317,311,6,317,6,0.981073,0.981073,0.981073,0.018927,74,Panonchus citri McGregor,6,0.018927,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
38,train,3,asiatic rice borer,631,624,7,640,16,0.975000,0.988906,0.981904,0.011094,4,yellow rice borer,2,0.003170,0.285714,22,corn borer,2,0.003170,0.285714,0,rice leaf roller,1,0.001585,0.142857,1,rice leaf caterpillar,1,0.001585,0.142857,24,aphids,1,0.001585,0.142857
39,train,46,alfalfa plant bug,393,385,8,391,6,0.984655,0.979644,0.982143,0.020356,70,Miridae,4,0.010178,0.500000,47,tarnished plant bug,2,0.005089,0.250000,24,aphids,1,0.002545,0.125000,57,Apolygus lucorum,1,0.002545,0.125000,,,0,0.000000,0.000000
40,train,1,rice leaf caterpillar,292,287,5,292,5,0.982877,0.982877,0.982877,0.017123,0,rice leaf roller,4,0.013699,0.800000,23,army worm,1,0.003425,0.200000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
41,train,81,Nipaecoccus vastalor,59,58,1,59,1,0.983051,0.983051,0.983051,0.016949,94,Lawana imitata Melichar,1,0.016949,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
42,train,91,Aphis citricola Vander Goot,210,206,4,209,3,0.985646,0.980952,0.983294,0.019048,28,green bug,2,0.009524,0.500000,24,aphids,1,0.004762,0.250000,90,Toxoptera aurantii,1,0.004762,0.250000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
43,train,11,rice leafhopper,242,238,4,241,3,0.987552,0.983471,0.985507,0.016529,101,Cicadellidae,2,0.008264,0.500000,0,rice leaf roller,1,0.004132,0.250000,7,brown plant hopper,1,0.004132,0.250000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
44,train,94,Lawana imitata Melichar,346,342,4,348,6,0.982759,0.988439,0.985591,0.011561,95,Salurnis marginella Guerr,3,0.008671,0.750000,67,Lycorma delicatula,1,0.002890,0.250000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
45,train,60,Colomerus vitis,105,103,2,104,1,0.990385,0.980952,0.985646,0.019048,63,Polyphagotars onemus latus,1,0.009524,0.500000,75,Phyllocoptes oleiverus ashmead,1,0.009524,0.500000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
46,train,50,legume blister beetle,845,834,11,847,13,0.984652,0.986982,0.985816,0.013018,51,blister beetle,11,0.013018,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
47,train,86,Prodenia litura,782,776,6,792,16,0.979798,0.992327,0.986023,0.007673,97,Chlumetia transversa,2,0.002558,0.333333,17,white margined moth,1,0.001279,0.166667,18,black cutworm,1,0.001279,0.166667,39,beet army worm,1,0.001279,0.166667,45,flax budworm,1,0.001279,0.166667
48,train,55,alfalfa seed chalcid,111,108,3,108,0,1.000000,0.972973,0.986301,0.027027,34,wheat sawfly,1,0.009009,0.333333,45,flax budworm,1,0.009009,0.333333,70,Miridae,1,0.009009,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000
49,train,5,rice gall midge,303,295,8,295,0,1.000000,0.973597,0.986622,0.026403,93,Dasineura sp,3,0.009901,0.375000,3,asiatic rice borer,2,0.006601,0.250000,0,rice leaf roller,1,0.003300,0.125000,9,small brown plant hopper,1,0.003300,0.125000,50,legume blister beetle,1,0.003300,0.125000
50,train,57,Apolygus lucorum,228,225,3,228,3,0.986842,0.986842,0.986842,0.013158,46,alfalfa plant bug,2,0.008772,0.666667,70,Miridae,1,0.004386,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
51,train,95,Salurnis marginella Guerr,292,288,4,291,3,0.989691,0.986301,0.987993,0.013699,94,Lawana imitata Melichar,4,0.013699,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
52,train,80,Parlatoria zizyphus Lucus,44,43,1,43,0,1.000000,0.977273,0.988506,0.022727,77,Unaspis yanonensis,1,0.022727,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
53,train,84,Dacus dorsalis(Hendel),263,260,3,263,3,0.988593,0.988593,0.988593,0.011407,83,Tetradacus c Bactrocera minax,3,0.011407,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
54,train,92,Scirtothrips dorsalis Hood,484,481,3,489,8,0.983640,0.993802,0.988695,0.006198,54,Thrips,2,0.004132,0.666667,75,Phyllocoptes oleiverus ashmead,1,0.002066,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
55,train,51,blister beetle,1138,1126,12,1139,13,0.988586,0.989455,0.989021,0.010545,50,legume blister beetle,11,0.009666,0.916667,71,Trialeurodes vaporariorum,1,0.000879,0.083333,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
56,train,77,Unaspis yanonensis,251,248,3,250,2,0.992000,0.988048,0.990020,0.011952,79,Chrysomphalus aonidum,2,0.007968,0.666667,76,Icerya purchasi Maskell,1,0.003984,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
57,train,12,grain spreader thrips,103,103,0,105,2,0.980952,1.000000,0.990385,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
58,train,23,army worm,642,634,8,638,4,0.993730,0.987539,0.990625,0.012461,86,Prodenia litura,3,0.004673,0.375000,22,corn borer,2,0.003115,0.250000,19,large cutworm,1,0.001558,0.125000,38,cabbage army worm,1,0.001558,0.125000,39,beet army worm,1,0.001558,0.125000
59,train,39,beet army worm,962,956,6,968,12,0.987603,0.993763,0.990674,0.006237,38,cabbage army worm,3,0.003119,0.500000,86,Prodenia litura,2,0.002079,0.333333,19,large cutworm,1,0.001040,0.166667,,,0,0.000000,0.000000,,,0,0.000000,0.000000
60,train,43,sericaorient alismots chulsky,114,112,2,112,0,1.000000,0.982456,0.991150,0.017544,14,grub,2,0.017544,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
61,train,93,Dasineura sp,303,303,0,308,5,0.983766,1.000000,0.991817,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
62,train,79,Chrysomphalus aonidum,135,135,0,137,2,0.985401,1.000000,0.992647,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
63,train,47,tarnished plant bug,492,487,5,489,2,0.995910,0.989837,0.992864,0.010163,70,Miridae,3,0.006098,0.600000,46,alfalfa plant bug,2,0.004065,0.400000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
64,train,45,flax budworm,639,634,5,638,4,0.993730,0.992175,0.992952,0.007825,86,Prodenia litura,3,0.004695,0.600000,22,corn borer,1,0.001565,0.200000,97,Chlumetia transversa,1,0.001565,0.200000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
65,train,69,Cicadella viridis,767,764,3,771,7,0.990921,0.996089,0.993498,0.003911,101,Cicadellidae,3,0.003911,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
66,train,41,meadow moth,162,160,2,160,0,1.000000,0.987654,0.993789,0.012346,52,therioaphis maculata Buckton,1,0.006173,0.500000,86,Prodenia litura,1,0.006173,0.500000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
67,train,99,Rhytidodera bowrinii white,333,330,3,331,1,0.996979,0.990991,0.993976,0.009009,52,therioaphis maculata Buckton,1,0.003003,0.333333,67,Lycorma delicatula,1,0.003003,0.333333,68,Xylotrechus,1,0.003003,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000
68,train,71,Trialeurodes vaporariorum,415,415,0,420,5,0.988095,1.000000,0.994012,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
69,train,42,beet weevil,184,182,2,182,0,1.000000,0.989130,0.994536,0.010870,10,rice water weevil,2,0.010870,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
70,train,49,lytta polita,392,389,3,390,1,0.997436,0.992347,0.994885,0.007653,50,legume blister beetle,1,0.002551,0.333333,51,blister beetle,1,0.002551,0.333333,54,Thrips,1,0.002551,0.333333,,,0,0.000000,0.000000,,,0,0.000000,0.000000
71,train,22,corn borer,1018,1014,4,1020,6,0.994118,0.996071,0.995093,0.003929,23,army worm,2,0.001965,0.500000,3,asiatic rice borer,1,0.000982,0.250000,97,Chlumetia transversa,1,0.000982,0.250000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
72,train,59,Viteus vitifoliae,212,210,2,210,0,1.000000,0.990566,0.995261,0.009434,49,lytta polita,1,0.004717,0.500000,60,Colomerus vitis,1,0.004717,0.500000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
73,train,10,rice water weevil,513,513,0,517,4,0.992263,1.000000,0.996117,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
74,train,100,Sternochetus frigidus,274,272,2,272,0,1.000000,0.992701,0.996337,0.007299,10,rice water weevil,1,0.003650,0.500000,99,Rhytidodera bowrinii white,1,0.003650,0.500000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
75,train,26,peach borer,414,412,2,413,1,0.997579,0.995169,0.996372,0.004831,0,rice leaf roller,1,0.002415,0.500000,67,Lycorma delicatula,1,0.002415,0.500000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
76,train,24,aphids,2456,2450,6,2460,10,0.995935,0.997557,0.996745,0.002443,27,english grain aphid,2,0.000814,0.333333,28,green bug,2,0.000814,0.333333,29,bird cherry-oataphid,1,0.000407,0.166667,89,Toxoptera citricidus,1,0.000407,0.166667,,,0,0.000000,0.000000
77,train,78,Ceroplastes rubens,154,154,0,155,1,0.993548,1.000000,0.996764,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
78,train,62,oides decempunctata,169,168,1,168,0,1.000000,0.994083,0.997033,0.005917,71,Trialeurodes vaporariorum,1,0.005917,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
79,train,14,grub,516,516,0,519,3,0.994220,1.000000,0.997101,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
80,train,64,Pseudococcus comstocki Kuwana,184,183,1,183,0,1.000000,0.994565,0.997275,0.005435,81,Nipaecoccus vastalor,1,0.005435,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
81,train,101,Cicadellidae,3444,3434,10,3442,8,0.997676,0.997096,0.997386,0.002904,69,Cicadella viridis,6,0.001742,0.600000,72,Erythroneura apicalis,2,0.000581,0.200000,11,rice leafhopper,1,0.000290,0.100000,98,Mango flat beak leafhopper,1,0.000290,0.100000,,,0,0.000000,0.000000
82,train,34,wheat sawfly,203,203,0,204,1,0.995098,1.000000,0.997543,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
83,train,76,Icerya purchasi Maskell,433,432,1,433,1,0.997691,0.997691,0.997691,0.002309,77,Unaspis yanonensis,1,0.002309,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
84,train,70,Miridae,3048,3046,2,3055,9,0.997054,0.999344,0.998198,0.000656,46,alfalfa plant bug,1,0.000328,0.500000,57,Apolygus lucorum,1,0.000328,0.500000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
85,train,25,Potosiabre vitarsis,339,338,1,338,0,1.000000,0.997050,0.998523,0.002950,14,grub,1,0.002950,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
86,train,82,Aleurocanthus spiniferus,414,414,0,415,1,0.997590,1.000000,0.998794,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
87,train,66,Ampelophaga,458,457,1,457,0,1.000000,0.997817,0.998907,0.002183,86,Prodenia litura,1,0.002183,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
88,train,37,flea beetle,473,473,0,474,1,0.997890,1.000000,0.998944,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
89,train,67,Lycorma delicatula,3186,3184,2,3187,3,0.999059,0.999372,0.999215,0.000628,69,Cicadella viridis,1,0.000314,0.500000,94,Lawana imitata Melichar,1,0.000314,0.500000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
90,train,68,Xylotrechus,690,690,0,691,1,0.998553,1.000000,0.999276,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
91,train,58,Limacodidae,840,839,1,839,0,1.000000,0.998810,0.999404,0.001190,101,Cicadellidae,1,0.001190,1.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
92,train,15,mole cricket,989,989,0,989,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
93,train,48,Locustoidea,836,836,0,836,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
94,train,16,wireworm,532,532,0,532,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
95,train,44,alfalfa weevil,314,314,0,314,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
96,train,30,wheat blossom midge,291,291,0,291,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
97,train,56,Pieris canidia,281,281,0,281,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
98,train,73,Papilio xuthus,269,269,0,269,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
99,train,88,Phyllocnistis citrella Stainton,242,242,0,242,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
100,train,87,Adristyrannus,186,186,0,186,0,1.000000,1.000000,1.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000,,,0,0.000000,0.000000
